user_id,annual_income,monthly_income,monthly_expenses,annual_expenses,current_savings,savings_ratio,emergency_fund,emergency_fund_months,total_investments,investment_ratio,retirement_savings,total_debt,debt_ratio,emi_per_month,insurance_coverage,insurance_level,income_stability,financial_health_score,financial_risk_level,savings_quality
1,5613900,467825,73369,880428,839221,0.15,1555144,21.2,4614226,0.82,4108603,3744854,0.67,36579,24711873,None,High,62,Moderate,Poor
2,4824866,402072,60580,726960,19813640,4.11,884834,14.6,533224,0.11,499914,1571945,0.33,57314,7806804,None,High,73,Moderate,Excellent
3,1917971,159830,234949,2819388,7396759,3.86,942059,4.0,9886237,5.15,4667265,109031,0.06,41853,23425670,Strong,Moderate,92,Low,Excellent
4,2580953,215079,96516,1158192,7224730,2.8,1601163,16.6,5647119,2.19,1714803,1556017,0.6,99595,3245263,Moderate,Moderate,80,Low,Excellent
5,5314421,442868,153685,1844220,1457954,0.27,1530358,10.0,7707870,1.45,8996414,2094235,0.39,99230,2644095,Moderate,High,82,Low,Poor
6,5438519,453209,204600,2455200,19372723,3.56,403258,2.0,11820753,2.17,1166941,768805,0.14,173346,7646997,Moderate,Low,72,Moderate,Excellent
7,2202791,183565,67953,815436,12754919,5.79,582952,8.6,7606962,3.45,6120868,2728882,1.24,97040,11920906,Basic,High,79,Moderate,Excellent
8,2489572,207464,52435,629220,5742460,2.31,1120172,21.4,12232717,4.91,4107245,2741438,1.1,121178,12732411,Moderate,High,82,Low,Excellent
9,4922033,410169,130141,1561692,10881122,2.21,1767588,13.6,12890162,2.62,938483,3842788,0.78,8414,27012854,Moderate,Moderate,85,Low,Excellent
10,2495973,207997,49701,596412,7079409,2.84,1914985,38.5,9515702,3.81,5279418,3567281,1.43,171819,16751421,Strong,High,85,Low,Excellent
11,4099128,341594,89905,1078860,8887903,2.17,292826,3.3,4137722,1.01,9418194,9042538,2.21,68876,25065624,Strong,High,79,Moderate,Excellent
12,3600414,300034,204790,2457480,7359183,2.04,290102,1.4,8548432,2.37,8279821,1525206,0.42,12351,28893819,None,Low,78,Moderate,Excellent
13,5513398,459449,98876,1186512,14165337,2.57,1250760,12.6,1065818,0.19,6455324,6402509,1.16,156208,15705148,Moderate,High,72,Moderate,Excellent
14,346309,28859,75058,900696,18017734,52.03,1574704,21.0,4476583,12.93,5707197,1871534,5.4,76939,14588301,Basic,Moderate,75,Moderate,Excellent
15,277223,23101,153091,1837092,16796882,60.59,1597950,10.4,2997281,10.81,8517485,1785277,6.44,163918,10014145,Basic,Low,71,Moderate,Excellent
16,3386616,282218,99698,1196376,18098556,5.34,1999633,20.1,13063184,3.86,8897858,9594,0.0,157009,10876872,Strong,Low,89,Low,Excellent
17,1188414,99034,205306,2463672,10318461,8.68,502167,2.4,971823,0.82,4041154,9518669,8.01,20645,2874052,Strong,Low,64,Moderate,Excellent
18,4718663,393221,80934,971208,4308102,0.91,1383597,17.1,7973915,1.69,9224173,2770370,0.59,69483,17705794,Strong,Low,86,Low,Good
19,4773943,397828,120461,1445532,10459463,2.19,836747,6.9,11269037,2.36,6264956,7350099,1.54,135679,15149361,None,Low,72,Moderate,Excellent
20,2134897,177908,48568,582816,11344269,5.31,44112,0.9,9870182,4.62,9293261,3860684,1.81,154256,7389269,None,Low,58,Moderate,Excellent
21,5544075,462006,45866,550392,7682011,1.39,141348,3.1,527021,0.1,5543670,1188789,0.21,134782,7986110,Moderate,High,77,Moderate,Good
22,4321951,360162,127321,1527852,18093688,4.19,277478,2.2,12135842,2.81,9580513,9667227,2.24,123907,8153634,Strong,Moderate,75,Moderate,Excellent
23,1847274,153939,64453,773436,3252458,1.76,1381986,21.4,7231838,3.91,5944126,7106470,3.85,107767,15670747,None,High,76,Moderate,Excellent
24,5731581,477631,66599,799188,2033823,0.35,844358,12.7,12217396,2.13,5692553,1833230,0.32,65183,6428696,Basic,High,82,Low,Average
25,4013243,334436,88495,1061940,14155998,3.53,384802,4.3,4673212,1.16,7761611,4191056,1.04,19761,14869000,None,Low,68,Moderate,Excellent
26,5720587,476715,298423,3581076,495191,0.09,195586,0.7,12642731,2.21,3965789,2790237,0.49,106539,16295412,Strong,Low,60,Moderate,Poor
27,3614169,301180,45741,548892,5524305,1.53,794764,17.4,36161,0.01,6550190,4449368,1.23,119277,9571375,Strong,High,74,Moderate,Excellent
28,4912122,409343,270155,3241860,5194119,1.06,398244,1.5,4977931,1.01,3652414,981186,0.2,151828,24687243,None,High,69,Moderate,Good
29,2880707,240058,44971,539652,1682497,0.58,1225109,27.2,7999183,2.78,8436429,8910817,3.09,41270,1908561,None,Low,65,Moderate,Average
30,824798,68733,50631,607572,7892133,9.57,846778,16.7,2011363,2.44,9557567,4130808,5.01,151760,19948752,None,High,76,Moderate,Excellent
31,937726,78143,234794,2817528,19584792,20.89,1185366,5.0,8770838,9.35,5307805,4374922,4.67,53545,22472274,Moderate,Low,69,Moderate,Excellent
32,2478136,206511,222505,2670060,4391546,1.77,1408636,6.3,10829706,4.37,5033115,7670955,3.1,82883,25228385,None,Low,68,Moderate,Excellent
33,4094377,341198,67418,809016,2458221,0.6,1127501,16.7,3576135,0.87,8487336,4449324,1.09,34722,11710793,None,Low,59,Moderate,Average
34,3349817,279151,164415,1972980,5293105,1.58,918939,5.6,13987919,4.18,9113685,11803441,3.52,79303,20524499,None,High,75,Moderate,Excellent
35,4902341,408528,171960,2063520,3475786,0.71,1969078,11.5,14732525,3.01,2253031,4437001,0.91,30258,29853804,None,High,75,Moderate,Average
36,4890776,407564,96499,1157988,9138489,1.87,590885,6.1,10147360,2.07,3533779,5752576,1.18,53371,23068575,Moderate,High,86,Low,Excellent
37,4348102,362341,146659,1759908,1704528,0.39,193563,1.3,10641527,2.45,7106422,4641923,1.07,11557,118973,Moderate,Low,58,Moderate,Average
38,5594494,466207,152340,1828080,5421791,0.97,1554473,10.2,7412769,1.33,9255661,11839135,2.12,112115,18820911,None,Low,65,Moderate,Good
39,881191,73432,93147,1117764,18306972,20.78,75556,0.8,14002180,15.89,6194416,9772888,11.09,144841,4969202,Strong,Low,67,Moderate,Excellent
40,600885,50073,176616,2119392,12235674,20.36,1885300,10.7,13356715,22.23,669324,6003042,9.99,55070,22886360,Basic,High,78,Moderate,Excellent
41,1112295,92691,200429,2405148,18786573,16.89,1854164,9.3,14675244,13.19,6817881,10412972,9.36,40515,7943586,Basic,Low,71,Moderate,Excellent
42,3708576,309048,27995,335940,6018345,1.62,1544687,55.2,5573147,1.5,6907400,11239176,3.03,65055,8952514,Basic,High,83,Low,Excellent
43,1156771,96397,215562,2586744,1299382,1.12,1800600,8.4,7896868,6.83,3731818,3348276,2.89,120665,11732589,Moderate,Low,71,Moderate,Good
44,2120018,176668,27406,328872,6480360,3.06,835643,30.5,5507321,2.6,4674183,1164686,0.55,73170,11782508,Strong,High,92,Low,Excellent
45,4748103,395675,188617,2263404,926120,0.2,241889,1.3,14714262,3.1,4382463,2995870,0.63,152198,8907573,None,Low,49,High,Poor
46,5254402,437866,242836,2914032,11599334,2.21,1527869,6.3,13194075,2.51,5262632,7321474,1.39,158914,17160510,None,Moderate,74,Moderate,Excellent
47,5086771,423897,114656,1375872,8547069,1.68,93085,0.8,11891443,2.34,7315831,28374,0.01,136293,27062014,Basic,Moderate,81,Low,Excellent
48,3867984,322332,51686,620232,11079674,2.86,1306851,25.3,5266630,1.36,2090865,5038571,1.3,132939,10377871,Strong,Moderate,74,Moderate,Excellent
49,3625579,302131,170008,2040096,18602995,5.13,266941,1.6,3218542,0.89,7053918,11155664,3.08,99390,22727018,Basic,High,67,Moderate,Excellent
50,5024000,418666,172784,2073408,13625621,2.71,1149107,6.7,13987587,2.78,6810,5098175,1.01,75212,7052560,Strong,High,83,Low,Excellent
51,5339046,444920,183951,2207412,15602414,2.92,926492,5.0,7418210,1.39,3585314,8576076,1.61,124042,26633340,Basic,High,72,Moderate,Excellent
52,961316,80109,163785,1965420,17295699,17.99,1392202,8.5,10618985,11.05,5623525,1566777,1.63,61569,22575276,Moderate,Low,74,Moderate,Excellent
53,1920422,160035,92255,1107060,819580,0.43,96917,1.1,4107776,2.14,7971465,10255475,5.34,19091,15281230,Strong,High,69,Moderate,Average
54,5079077,423256,116940,1403280,12884179,2.54,1036784,8.9,6705062,1.32,4093379,2475836,0.49,171981,23072779,None,Low,75,Moderate,Excellent
55,3816384,318032,129735,1556820,5901777,1.55,1686340,13.0,11675462,3.06,8689889,7793853,2.04,13164,18703434,Basic,Low,79,Moderate,Excellent
56,4079079,339923,84908,1018896,15590839,3.82,1400011,16.5,8910914,2.18,9377210,9990032,2.45,83177,25341985,Strong,High,89,Low,Excellent
57,4484386,373698,238735,2864820,18383532,4.1,935148,3.9,2670226,0.6,7963715,7550917,1.68,67945,25225443,Basic,High,73,Moderate,Excellent
58,2576256,214688,288311,3459732,16260377,6.31,1314386,4.6,4013879,1.56,4606980,7379837,2.86,20311,23942592,Moderate,Low,77,Moderate,Excellent
59,2529311,210775,191080,2292960,10727672,4.24,1872813,9.8,9062250,3.58,1351868,2321531,0.92,39539,7759847,Strong,High,94,Low,Excellent
60,1531823,127651,127172,1526064,2155162,1.41,870041,6.8,6838382,4.46,5551268,9103504,5.94,122139,13951068,None,Low,68,Moderate,Good
61,3774419,314534,219198,2630376,19598452,5.19,1984035,9.1,11668939,3.09,327691,9658481,2.56,99714,16004784,None,Moderate,67,Moderate,Excellent
62,2754944,229578,219465,2633580,14060021,5.1,1128730,5.1,12541231,4.55,9162579,10120898,3.67,57812,16382262,Basic,Moderate,74,Moderate,Excellent
63,3906057,325504,269616,3235392,973911,0.25,815492,3.0,5639317,1.44,6783308,2768991,0.71,122523,4282478,None,Moderate,61,Moderate,Poor
64,5215156,434596,29209,350508,2816809,0.54,1347943,46.1,7190929,1.38,2276659,7746014,1.49,47639,1687272,Moderate,Moderate,66,Moderate,Average
65,2996033,249669,125970,1511640,15257177,5.09,685445,5.4,5662319,1.89,6360682,4668371,1.56,110510,8464827,None,Moderate,67,Moderate,Excellent
66,412598,34383,297810,3573720,1747702,4.24,1996320,6.7,5871360,14.23,3761823,10907607,26.44,17987,26213831,None,Low,68,Moderate,Excellent
67,2324362,193696,119522,1434264,683839,0.29,1303035,10.9,2556551,1.1,4002120,2117636,0.91,124141,22463311,None,High,63,Moderate,Poor
68,2078419,173201,258811,3105732,8598111,4.14,1608301,6.2,6189034,2.98,2815034,10165192,4.89,159186,25096220,None,Low,68,Moderate,Excellent
69,2859183,238265,71674,860088,19417437,6.79,53851,0.8,5233774,1.83,9660266,11364001,3.97,98384,13309514,Basic,Low,61,Moderate,Excellent
70,5216876,434739,142323,1707876,3419240,0.66,1462119,10.3,12960078,2.48,5059717,11479961,2.2,157394,27029033,None,High,68,Moderate,Average
