user_id,age,retirement_age,annual_income,monthly_income,current_savings,emergency_fund,stock_investments,mutual_fund_investments,fd_investments,gold_investments,monthly_sip,epf_balance,ppf_balance,nps_contribution,monthly_expenses,total_loans,emi_per_month,dependents,risk_appetite,smoker,diabetes,blood_pressure,insurance_cover,inflation_rate,expected_market_return,retirement_readiness_score,retirement_status
1,29,50,2607113,217259,8267207,468106,1170528,3088984,429895,1419141,142964,729295,1238352,27651,31663,499914,24561,0,Aggressive,Yes,No,Normal,15172954,5.09,11.54,77,Partially Ready
2,59,66,354515,29542,5407277,1464104,3545146,1427114,1165476,326064,56443,2823559,214350,6078,214191,1622631,94104,0,Aggressive,No,Yes,High,2744095,8.24,12.23,52,Partially Ready
3,57,66,3333614,277801,19422723,403258,583470,192201,2773539,477937,75861,669343,1793731,15256,67953,6377459,72869,1,Moderate,No,Yes,High,2495870,6.27,13.84,63,Partially Ready
4,60,70,1735615,144634,17972760,513405,1370719,1938859,1591551,566121,146001,1842265,1435740,21252,44327,3842788,8414,0,Conservative,No,Yes,High,13375203,8.03,10.81,75,Partially Ready
5,51,58,2521975,210164,4735216,517215,4709097,2260634,1102018,1225965,112311,4895028,837603,23723,129987,2320821,133569,0,Conservative,Yes,No,Normal,13010648,6.47,13.29,83,Ready
6,46,70,4226287,352190,17804131,527253,4640795,3610371,48154,1426657,30029,4504433,1574704,17486,193349,1871534,76939,5,Aggressive,No,Yes,Normal,10114145,6.17,11.18,68,Partially Ready
7,54,68,1968587,164048,5178434,784154,1355171,2262319,2224464,1199,84975,4098721,40845,7331,205306,5159230,62770,0,Conservative,No,Yes,Normal,4408102,4.29,14.15,64,Partially Ready
8,52,65,1685185,140432,8943824,1106612,3549538,888346,2261971,1446757,52730,2614865,836747,44019,210779,7350099,135679,0,Moderate,Yes,Yes,Normal,341284,6.26,9.74,52,Partially Ready
9,26,70,793868,66155,7732011,141348,263510,3605572,1385917,148598,134782,1996527,584009,43842,269496,3594297,141356,4,Aggressive,No,Yes,High,13758665,4.66,14.55,59,Partially Ready
10,34,53,1113114,92759,14513677,743015,3553235,1724287,1958843,113605,25799,508455,844358,47724,192892,1833230,65183,1,Moderate,Yes,No,High,8482113,4.96,11.75,62,Partially Ready
11,26,64,4916463,409705,3335271,106091,4534780,3506553,61898,195586,61965,1395118,852312,31826,267370,3586084,105130,0,Moderate,No,No,High,14293775,8.51,9.15,59,Partially Ready
12,57,69,1598529,133210,6421915,622241,1826207,245296,2429258,1137065,15979,2630707,119884,3286,264974,8436429,139231,0,Conservative,Yes,Yes,Normal,13648459,4.79,14.73,52,Partially Ready
13,29,68,2365404,197117,19475300,1246797,333377,2597874,343863,879178,148170,4385419,663475,17089,122090,5271130,62570,5,Moderate,No,No,Normal,412574,5.33,8.92,74,Partially Ready
14,51,65,1138703,94891,2508221,1127501,1788067,2121834,1112331,277781,91490,577063,1843963,16009,208738,4781295,41352,2,Aggressive,Yes,No,Normal,4606062,6.19,11.8,49,Not Ready
15,38,53,1197882,99823,18613105,325997,2284622,1181771,2536840,441722,89884,1707898,1441785,41565,153403,8479356,128065,0,Conservative,No,No,Normal,218973,5.26,14.36,55,Partially Ready
